sender,requestkey,token0,token0amount,token1,token1amount,time
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,https://explorer.kadena.io/mainnet/transaction/gZQOnaSmD_mzdHsBH-7nGHLXdmr9vHx8PqISLuWa5kg,coin,8.07491854848,free.maga,3279.49350852234,2025-06-15 18:11:06
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,https://explorer.kadena.io/mainnet/transaction/9wnMYXxps6dNjENMvuqXcK6yUJjXLB96l7woljz4Gow,free.maga,911.84076182932,coin,2.242293934899,2025-06-15 18:34:47
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,https://explorer.kadena.io/mainnet/transaction/hG7jjnaUErBlQnI5Fun-jr7rdFdJuXmLBwezjykvOhk,n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI,13756.80703,coin,30.775936898374,2025-06-15 18:38:42
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,https://explorer.kadena.io/mainnet/transaction/6-8fgzwcIkr2gVmmYW4qFZ0Q1PM5d1dmtVOPgGeQbck,free.maga,7999.1,coin,19.325498955725,2025-06-15 18:39:36
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,https://explorer.kadena.io/mainnet/transaction/q39Hkvqhy-cCkFqoMMJsePwbt0aPQ5XufVxl2ATyDYk,free.maga,7999.1,coin,18.725063521145,2025-06-15 21:08:59
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,https://explorer.kadena.io/mainnet/transaction/Non87b-Ss4joTeLO57GL1GNoF07y9CHkw1xgAt153cI,free.maga,7999.1,coin,18.152196120926,2025-06-15 21:14:14
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,https://explorer.kadena.io/mainnet/transaction/IHhqjI_0PIOkk18AteLQPoOgKzkftYd4PcF-su4cBeA,coin,0.993,free.crankk01,133.8359457549,2025-06-16 03:09:19
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,https://explorer.kadena.io/mainnet/transaction/ehrA2bk23Qjr6ICd1DjHcerk8WcTSWElsyzUZ5ophDs,coin,9.999999981065,kdlaunch.kdswap-token,4239.48238,2025-06-16 08:56:43
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,https://explorer.kadena.io/mainnet/transaction/65ORXIO9M6rUN6fQM1VzyYTn-xHSmbBLYP1XP4S1sLo,kdlaunch.kdswap-token,4239.48238,coin,10.238951974238,2025-06-16 08:57:35
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,https://explorer.kadena.io/mainnet/transaction/b0wCbxSvEOXpzf7iKvl8xK7vLRkknhXn6LBHu5YZ_Y4,coin,96.312943022632,free.cyberfly_token,18903.00771112,2025-06-02 17:28:06
